x,y,z,source
145,1,0,Baremore
146,0,0,Baremore
149,0,0,Baremore
182,0,0,Baremore
148,1,0,Baremore
151,1,1,Baremore
132,0,0,Baremore
168,1,0,Baremore
160,0,0,Baremore
155,1,0,Baremore
175,1,1,Baremore
160,0,0,Baremore
165,1,0,Baremore
168,1,0,Baremore
173,1,1,Baremore
168,1,0,Baremore
171,0,0,Baremore
164,0,0,Baremore
141,0,0,Baremore
134,0,0,Baremore
132,0,0,Baremore
167,1,1,Baremore
146,0,0,Baremore
151,1,0,Baremore
166,1,0,Baremore
175,1,0,Baremore
150,0,0,Baremore
152,1,0,Baremore
167,1,1,Baremore
154,1,0,Baremore
160,1,0,Baremore
154,1,0,Baremore
154,1,0,Baremore
157,0,0,Baremore
158,1,0,Baremore
163,0,0,Baremore
159,0,0,Baremore
155,0,0,Baremore
168,1,0,Baremore
179,1,1,Baremore
176,1,1,Baremore
170,1,0,Baremore
171,1,0,Baremore
163,1,0,Baremore
163,1,0,Baremore
166,1,0,Baremore
128,0,0,Baremore
165,1,1,Baremore
175,1,0,Baremore
134,0,0,Baremore
142,0,0,Baremore
162,1,0,Baremore
164,0,0,Baremore
143,0,0,Baremore
164,1,0,Baremore
160,1,0,Baremore
154,0,0,Baremore
157,0,0,Baremore
177,1,0,Baremore
173,1,1,Baremore
162,1,1,Baremore
165,1,0,Baremore
149,0,0,Baremore
166,1,1,Baremore
154,1,0,Baremore
144,0,0,Baremore
152,0,0,Baremore
176,1,1,Baremore
163,1,1,Baremore
166,1,1,Baremore
166,1,1,Baremore
178,1,1,Baremore
173,1,1,Baremore
163,1,1,Baremore
167,1,1,Baremore
174,1,1,Baremore
167,1,1,Baremore
178,1,0,Baremore
172,1,1,Baremore
164,1,1,Baremore
176,1,1,Baremore
172,1,1,Baremore
153,0,0,Baremore
163,0,0,Baremore
156,0,0,Baremore
150,0,0,Baremore
154,0,0,Baremore
159,0,0,Baremore
162,1,1,Baremore
170,1,1,Baremore
174,1,1,Baremore
158,1,1,Baremore
182,1,1,Baremore
184,1,1,Baremore
162,1,1,Baremore
172,1,0,Baremore
165,1,0,Baremore
172,1,0,Baremore
176,1,0,Baremore
176,1,0,Baremore
162,1,0,Baremore
173,1,0,Baremore
174,1,0,Baremore
157,1,0,Baremore
164,1,0,Baremore
155,1,0,Baremore
146,0,0,Baremore
162,1,0,Baremore
159,0,0,Baremore
169,1,0,Baremore
152,0,0,Baremore
148,0,0,Baremore
160,1,1,Baremore
160,0,0,Baremore
155,1,0,Baremore
156,0,0,Baremore
146,0,0,Baremore
181,1,1,Baremore
142,0,0,Baremore
141,0,0,Baremore
141,0,0,Baremore
161,1,1,Baremore
137,0,0,Baremore
163,0,0,Baremore
159,1,0,Baremore
151,0,0,Baremore
145,0,0,Baremore
164,0,0,Baremore
175,1,0,Baremore
160,0,0,Baremore
163,1,0,Baremore
67,0,0,Baremore
174,1,0,Baremore
174,1,0,Baremore
174,1,0,Baremore
74,0,0,Baremore
67,0,0,Baremore
88,0,0,Baremore
64,0,0,Baremore
63,0,0,Baremore
69,0,0,Baremore
52,0,0,Baremore
50,0,0,Baremore
54,0,0,Baremore
48,0,0,Baremore
92,0,0,Baremore
80,0,0,Baremore
54,0,0,Baremore
55,0,0,Baremore
139,0,0,Baremore
55,0,0,Baremore
98,0,0,Baremore
76,0,0,Baremore
60,0,0,Baremore
84,0,0,Baremore
186,1,1,Baremore
167,1,0,Baremore
172,1,0,Baremore
170,1,1,Baremore
104,0,0,Baremore
106,0,0,Baremore
66,0,0,Baremore
110,0,0,Baremore
97,0,0,Baremore
101,0,0,Baremore
98,0,0,Baremore
98,0,0,Baremore
98,0,0,Baremore
184,1,0,Baremore
120,0,0,Baremore
164,1,1,Baremore
141,0,0,Baremore
135,0,0,Baremore
165,1,0,Baremore
134,0,0,Baremore
146,0,0,Baremore
170,1,0,Baremore
157,1,1,Baremore
156,0,0,Baremore
164,0,0,Baremore
150,0,0,Baremore
