Maternal.ID,Maternal.FL,Month,Uterus.side,Sex,STL.cm,Wt.g
SBAR096,167,1,L,M,31,122
SBAR096,167,1,R,F,38,280
SBAR096,167,1,L,F,38,317
SBAR119,160,1,L,M,38,371
SBAR085,167,1,L,F,39,335
SBAR096,167,1,R,F,39,300
SBAR096,167,1,L,F,39,324
SBAR119,160,1,R,F,39,357
SBAR096,167,1,R,F,40,339
SBAR096,167,1,L,M,40,343
SBAR096,167,1,R,M,40,362
SBAR096,167,1,R,F,40,396
SBAR119,160,1,L,M,40,368
SBAR085,167,1,R,M,41,348
SBAR085,167,1,L,M,41,394
SBAR085,167,1,R,M,41,416
SBAR096,167,1,L,F,41,357
SBAR119,160,1,L,M,41,377
SBAR119,160,1,R,M,41,384
SBAR119,160,1,L,M,41,386
SBAR119,160,1,R,M,41,396
SBAR119,160,1,L,F,41,413
SBAR085,167,1,L,M,42,416
SBAR085,167,1,R,M,42,427
SBAR119,160,1,R,F,42,399
SBAR119,160,1,R,F,42,423
SBAR666,169,1,R,M,42,419
SBAR085,167,1,R,F,43,447
SBAR096,167,1,L,M,43,419
SBAR1287,186,1,R,F,43,479
SBAR650,169,1,L,F,44,529
SBAR666,169,1,L,F,44,405
SBAR666,169,1,L,M,44,419
SBAR666,169,1,R,M,44,441
SBAR671,166,1,R,M,44,407
SBAR671,166,1,R,F,44,447
SBAR671,166,1,R,F,44,453
SBAR650,169,1,L,M,45,533
SBAR1287,186,1,L,F,46,497
SBAR1287,186,1,R,M,46,517
SBAR1287,186,1,L,M,46,544
SBAR1287,186,1,R,F,46,544
SBAR1287,186,1,R,M,46,546
SBAR1287,186,1,L,F,46,548
SBAR1287,186,1,L,M,46,589
SBAR650,169,1,R,M,46,539
SBAR650,169,1,L,F,46,556
SBAR650,169,1,R,F,46,559
SBAR650,169,1,R,M,47,582
SBAR670,154,1,L,M,47,578
SBAR670,154,1,L,M,47,590
SBAR670,154,1,R,F,47,
SBAR670,154,1,R,M,47,
SBAR688,158,1,L,M,47,554
SBAR688,158,1,L,M,47,617
SBAR1287,186,1,R,M,48,540
SBAR1287,186,1,R,M,48,553
SBAR1287,186,1,R,M,48,568
SBAR1287,186,1,L,M,48,586
SBAR670,154,1,L,M,48,574
SBAR670,154,1,R,M,48,
SBAR688,158,1,L,F,48,586
SBAR688,158,1,L,M,48,628
SBAR1290,170,1,L,F,50,744
SBAR1290,170,1,L,M,50,757
SBAR1290,170,1,R,F,51,746
SBAR1305,164,2,L,M,46,546
SBAR1305,164,2,R,M,46,565
SBAR1305,164,2,L,M,47,543
SBAR727,163,2,L,M,47,
SBAR1305,164,2,L,F,48,550
SBAR1305,164,2,R,F,48,579
SBAR1305,164,2,R,F,48,608
SBAR1305,164,2,L,F,48,628
SBAR1305,164,2,L,M,48,632
SBAR1305,164,2,R,M,48,642
SBAR727,163,2,R,M,50,
SBAR727,163,2,R,F,50,
SBAR727,163,2,L,F,50,
SBAR727,163,2,R,M,50,
SBAR727,163,2,R,M,51,
SBAR727,163,2,L,F,51,
SBAR809,179,3,U,F,45,557
SBAR809,179,3,,F,46,646
SBAR939,163,3,R,F,46,676
SBAR857,167,3,,F,47,681
SBAR857,167,3,,M,48,742
SBAR857,167,3,,F,48,771
SBAR809,179,3,,F,49,704
SBAR809,179,3,,M,49,737
SBAR857,167,3,,F,49,779
SBAR809,179,3,,M,50,678
SBAR809,179,3,,M,50,699
SBAR809,179,3,,M,50,776
SBAR822,160,3,,F,50,628
SBAR822,160,3,,M,50,724
SBAR857,167,3,,F,50,730
SBAR857,167,3,,F,50,755
SBAR857,167,3,,F,50,760
SBAR857,167,3,,F,50,771
SBAR857,167,3,,F,50,783
SBAR857,167,3,,M,50,791
SBAR939,163,3,L,M,50,781
SBAR809,179,3,,F,51,760
SBAR822,160,3,,M,51,771
SBAR939,163,3,R,F,51,763
SBAR939,163,3,R,F,51,853
SBAR822,160,3,,F,52,802
SBAR822,160,3,,M,52,813
SBAR822,160,3,,F,52,845
SBAR843,181,3,,M,52,1113
SBAR939,163,3,L,M,52,799
SBAR939,163,3,R,F,52,840
SBAR939,163,3,L,F,52,862
SBAR822,160,3,,M,53,817
SBAR822,160,3,,M,53,830
SBAR876,174,3,,M,53,907
SBAR885,162,3,R,M,53,907
SBAR885,162,3,L,F,53,917
SBAR885,162,3,L,F,53,977
SBAR939,163,3,L,M,53,891
SBAR822,160,3,,F,54,841
SBAR843,181,3,,F,54,1138
SBAR843,181,3,,F,54,1162
SBAR843,181,3,,F,54,1191
SBAR843,181,3,,M,54,1245
SBAR843,181,3,,F,54,1246
SBAR876,174,3,,F,54,987
SBAR885,162,3,R,F,54,987
SBAR885,162,3,L,F,54,1001
SBAR940,173,3,R,F,54,1003
SBAR843,181,3,,F,55,1082
SBAR843,181,3,,F,55,1212
SBAR843,181,3,,F,55,1339
SBAR843,181,3,,F,56,1288
SBAR843,181,3,,M,56,1291
SBAR940,173,3,R,F,56,1155
SBAR940,173,3,R,F,56,1156
SBAR940,173,3,L,M,56,1183
SBAR940,173,3,L,M,57,1174
SBAR940,173,3,R,M,57,1206
SBAR940,173,3,R,M,58,1260
SBAR940,173,3,L,M,58,1303
SBAR918,172,4,R,F,42,378
SBAR1061,165,4,L,F,50,797
SBAR969,171,4,R,M,50,769
SBAR969,171,4,L,M,50,783
SBAR1027,179,4,R,M,51,872
SBAR1027,179,4,R,F,51,939
SBAR1061,165,4,R,F,51,833
SBAR922,173,4,L,M,51,864
SBAR1027,179,4,L,F,52,835
SBAR1027,179,4,R,F,52,951
SBAR1061,165,4,R,F,52,888
SBAR1061,165,4,L,M,52,893
SBAR1061,165,4,R,F,52,899
SBAR1061,165,4,L,M,52,906
SBAR969,171,4,L,F,52,766
SBAR969,171,4,R,F,52,818
SBAR969,171,4,L,F,52,872
SBAR969,171,4,R,M,52.5,864
SBAR1027,179,4,R,F,53,951
SBAR1061,165,4,L,F,53,863
SBAR918,172,4,R,F,53,912
SBAR922,173,4,R,M,53,919
SBAR922,173,4,R,M,53,943
SBAR1027,179,4,L,M,54,903
SBAR1027,179,4,R,F,54,962
SBAR1027,179,4,L,M,54,998
SBAR1027,179,4,L,M,54,1010
SBAR918,172,4,R,M,54,912
SBAR918,172,4,R,M,54,918
SBAR918,172,4,L,F,54,946
SBAR918,172,4,R,M,54,968
SBAR918,172,4,L,F,54,983
SBAR922,173,4,L,M,54,895
SBAR922,173,4,L,M,54,905
SBAR922,173,4,R,M,54,957
SBAR922,173,4,L,M,54,961
SBAR922,173,4,L,F,54,1023
SBAR922,173,4,R,M,54,1055
SBAR926,162,4,L,F,54,925
SBAR926,162,4,R,F,54,987
SBAR926,162,4,R,F,54,988
SBAR926,162,4,L,M,54,995
SBAR926,162,4,L,M,54,1029
SBAR918,172,4,L,M,55,1004
SBAR918,172,4,L,F,55,1019
SBAR922,173,4,L,F,55,979
SBAR922,173,4,R,F,55,1024
SBAR925,173,4,R,M,55,1119
SBAR926,162,4,R,F,55,991
SBAR926,162,4,L,F,55,1042
SBAR918,172,4,R,F,56,973
