SBARID,MONTH,FL,NO.VIT,MFD,UTERUS.WIDTH,OVIDUCAL.WIDTH,TOTALPUPS,STAGE,BANDCOUNT
SBAR098,1,154,0,8,41,36,NA,3,21
SBAR095,1,152,0,10,NA,32,NA,3,15
SBAR091,1,151,6,12,16,32,NA,3,14
SBAR669,1,148,0,12,31,39,NA,3,10
SBAR657,1,160,10,13,35,42,NA,3,14
SBAR659,1,156,15,13,28,45,NA,3,12
SBAR576,1,151,12,14,24,41,NA,3,15
SBAR115,1,172,0,14,62,33,NA,3,17
SBAR092,1,166,20,16,54,37,NA,3,19
SBAR585,1,151,20,17,40,38,NA,3,13
SBAR656,1,163,16,17,35,44,NA,3,17
SBAR651,1,153,15,18,36,49,NA,3,18
SBAR1288,1,167,0,18,44,36,NA,3,18
SBAR093,1,175,30,18,33,38,NA,3,21
SBAR1289,1,172,0,19,34,39,NA,3,20
SBAR673,1,163,10,19,42,41,NA,3,15
SBAR668,1,200,25,22,61,43,NA,3,27
SBAR563,1,162,17,23,44,53,NA,3,15
SBAR1303,1,184,35,24,64,50,NA,3,25
SBAR118,1,155,17,26,38,38,NA,3,18
SBAR553,1,155,25,27,36,43,NA,3,15
SBAR667,1,159,10,30,31,44,NA,3,18
SBAR1308,2,165,0,11,37,32,NA,3,16
SBAR711,2,154,20,21,33,37,NA,3,12
SBAR708,2,163,20,24,28,41,NA,3,13
SBAR852,3,165,0,10,50,32,NA,3,19
SBAR801,3,158,0,10,49,35,NA,3,16
SBAR825,3,157,0,11,50,34,NA,3,20
SBAR880,3,155,0,14,36,32,NA,3,12
SBAR753,3,144,10,18,20,36,NA,3,13
SBAR883,3,158,10,19,28,40,NA,3,13
SBAR776,3,154,10,21,21,34,NA,3,12
SBAR805,3,153,20,22,23,42,NA,3,13
SBAR877,3,158,10,22,29,39,NA,3,15
SBAR806,3,177,20,22,65,42,NA,3,14
SBAR757,3,160,20,23,35,43,NA,3,13
SBAR792,3,172,14,23,62,40,NA,3,25
SBAR787,3,165,25,24,44,40,NA,3,17
SBAR759,3,171,30,26,55,39,NA,3,20
SBAR866,3,169,15,26,43,46,NA,3,16
SBAR743,3,168,20,26,43,NA,NA,3,15
SBAR747,3,161,20,26,38,38,NA,3,15
SBAR820,3,161,10,26,44,45,NA,3,15
SBAR884,3,159,20,28,38,42,NA,3,15
SBAR744,3,181,20,28,46,51,NA,3,18
SBAR823,3,151,10,28,45,41,NA,3,13
SBAR803,3,159,20,29,29,42,NA,3,17
SBAR838,3,161,15,30,37,45,NA,3,18
SBAR862,3,163,20,30,46,44,NA,3,16
SBAR879,3,166,15,30,51,47,NA,3,16
SBAR864,3,173,20,30,74,43,NA,3,21
SBAR786,3,155,15,31,25,39,NA,3,11
SBAR855,3,162,15,31,43,45,NA,3,14
SBAR863,3,156,17,31,58,44,NA,3,17
SBAR810,3,172,15,32,40,44,NA,3,14
SBAR858,3,155,15,33,40,43,NA,3,16
SBAR745,3,177,25,35,73,NA,NA,3,25
SBAR860,3,168,15,37,54,NA,NA,3,22
SBAR828,3,156,NA,NA,NA,39,NA,3,16
SBAR1062,4,175,0,16,49,31,NA,3,22
SBAR916,4,161,0,20,28,36,NA,3,15
SBAR934,4,151,17,25,30,46,NA,3,11
SBAR1024,4,168,20,26,25,41,NA,3,16
SBAR1044,4,163,20,28,66,43,NA,3,13
SBAR924,4,167,11,30,36,44,NA,3,20
SBAR901,4,157,10,30,30,44,NA,3,12
SBAR917,4,164,15,30,40,47,NA,3,18
SBAR1000,4,160,15,30,44,44,NA,3,19
SBAR1004,4,154,NA,30,24,41,NA,3,14
SBAR1033,4,163,12,31,49,48,NA,3,14
SBAR930,4,168,20,31,35,39,NA,3,11
SBAR1032,4,171,12,31,40,51,NA,3,15
SBAR914,4,168,16,31,38,46,NA,3,19
SBAR909,4,165,16,31,42,44,NA,3,18
SBAR907,4,171,18,31,43,48,NA,3,18
SBAR1013,4,154,15,34,48,38,NA,3,16
SBAR1031,4,170,20,34,40,36,NA,3,15
SBAR923,4,169,16,35,46,43,NA,3,18
SBAR1015,4,158,20,36,47,49,NA,3,17
SBAR921,4,166,8,36,38,45,NA,3,19
SBAR913,4,177,18,40,46,41,NA,3,21
SBAR919,4,165,NA,NA,55,33,NA,3,22
SBAR1065,5,162,0,20,27,30,NA,3,16
